gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
0.027297288,0.0059372517,0.14193316,-2.1476038,-0.32889625,-10.690057,-0.6568727,-0.20466946,0.8630775
0.008870045,0.003536009,0.10110374,-1.2906352,-1.8436309,-9.024031,-0.6567642593883792,-0.20494208640978592,0.8618000538837921
-0.010620101,0.011075522,-0.08231903,0.91592795,0.63862514,-10.107746,-0.6566558187767584,-0.20521471281957188,0.8605226077675842
-0.021167498,-0.024866028,-0.14137618,-0.3000212,-1.2469937,-9.2752695,-0.6565473781651376,-0.2054873392293578,0.8592451616513762
-0.029224563,-0.049288582,-0.0007503136,-1.8009326,0.8483726,-9.641165,-0.6564389375535168,-0.20575996563914373,0.8579677155351683
-0.06404809,-0.08097706,0.0960572,-0.19130543,-0.38648427,-9.581292,-0.656330496941896,-0.20603259204892965,0.8566902694189603
-0.073515855,-0.110687524,0.1671777,1.0143436,-0.87371284,-10.428448,-0.6562220563302752,-0.2063052184587156,0.8554128233027524
-0.07156292,-0.09904304,0.14120662,3.9444811,0.35304216,-8.999487,-0.6561136157186545,-0.20657784486850153,0.8541353771865444
-0.08918839,-0.12655231,0.04382814,0.86951107,-0.9935934,-8.34098,-0.6560051751070336,-0.20685047127828746,0.8528579310703365
-0.10797765,-0.14420578,-0.042954147,-0.7069713,-1.5796396,-10.707702,-0.6558967344954129,-0.20712309768807338,0.8515804849541285
-0.12747286,-0.11265621,-0.13421859,3.7152686,0.05773489,-8.315408,-0.655788293883792,-0.20739572409785934,0.8503030388379206
-0.12731314,-0.15594022,-0.047867917,-5.0120463,1.0353355,-9.278587,-0.6556798532721713,-0.20766835050764526,0.8490255927217126
-0.09915992,-0.11690459,0.050249465,1.133861,-0.4283628,-10.871795,-0.6555714126605504,-0.2079409769174312,0.8477481466055047
-0.118250936,-0.06518889,0.14287546,-3.6458242,-0.852437,-8.768585,-0.6554629720489297,-0.2082136033272171,0.8464707004892967
-0.115992285,-0.08822433,0.17800355,-0.36498797,-0.3333424,-9.649327,-0.6553545314373088,-0.20848622973700306,0.8451932543730888
-0.12263347,-0.059723802,0.10108726,-12.498535,-0.120646015,-10.411122,-0.6552460908256881,-0.208758856146789,0.8439158082568808
-0.14103964,-0.04106631,-0.016162237,1.4794657,-1.5677319,-8.719716,-0.6551376502140672,-0.20903148255657492,0.8426383621406728
-0.16780123,-0.092021726,-0.10107894,2.705654,-1.1596804,-9.077959,-0.6550292096024465,-0.20930410896636084,0.8413609160244648
-0.18954402,-0.0586328,-0.10868012,5.6151257,-0.69403195,-9.569474,-0.6549207689908256,-0.2095767353761468,0.8400834699082569
-0.17770307,-0.13428053,0.028497254,-3.7346542,-0.14929579,-9.409864,-0.6548123283792049,-0.20984936178593272,0.8388060237920489
-0.14112966,-0.14792211,0.14707647,-4.7834,0.96282136,-9.569648,-0.654703887767584,-0.21012198819571865,0.837528577675841
-0.09932078,-0.15103506,0.19349475,-0.28091553,0.4878941,-8.5072365,-0.6545954471559633,-0.2103946146055046,0.836251131559633
-0.07732081,-0.18862197,0.18515523,7.961854,-1.8924986,-10.009342,-0.6544870065443424,-0.21066724101529052,0.8349736854434251
-0.049312387,-0.24863005,0.09765345,-3.5632188,-1.4427797,-10.568753,-0.6543785659327217,-0.21093986742507645,0.8336962393272171
-0.02499501,-0.2976583,-0.09038844,-6.7701883,-0.6674595,-8.639436,-0.6542701253211008,-0.21121249383486237,0.8324187932110092
-0.0138781825,-0.39529136,-0.15936318,-5.3038464,-0.23847565,-8.771456,-0.6541616847094801,-0.21148512024464833,0.8311413470948013
0.010867766,-0.40460068,-0.090428054,4.9217887,0.66320014,-11.185595,-0.6540532440978593,-0.21175774665443425,0.8298639009785933
0.054653246,-0.40154922,0.037367895,3.8562596,0.005774129,-8.852147,-0.6539448034862385,-0.21203037306422018,0.8285864548623854
0.047284696,-0.4702319,0.17638251,6.9593706,-0.23828264,-9.176389,-0.6538363628746177,-0.2123029994740061,0.8273090087461774
0.08707832,-0.45973912,0.15607603,6.88661,-1.2387165,-9.547364,-0.6537279222629969,-0.21257562588379206,0.8260315626299695
0.04159045,-0.5133987,0.041019212,-5.2415285,-2.180007,-9.894868,-0.6536194816513762,-0.21284825229357798,0.8247541165137615
0.052712392,-0.51966155,-0.093857124,5.177916,0.50620896,-9.78165,-0.6535110410397553,-0.2131208787033639,0.8234766703975536
0.07616609,-0.46776983,-0.18504417,-1.1184944,-0.6558091,-8.767747,-0.6534026004281346,-0.21339350511314983,0.8221992242813456
0.047428787,-0.45777857,-0.16214824,2.4135656,-0.8168115,-10.9896965,-0.6532941598165137,-0.2136661315229358,0.8209217781651377
0.027285215,-0.39645436,-0.061822463,-1.513178,0.22634606,-11.000811,-0.653185719204893,-0.2139387579327217,0.8196443320489297
0.05616211,-0.26657522,0.20644052,1.5348482,0.45429948,-10.211265,-0.6530772785932721,-0.21421138434250764,0.8183668859327218
0.042189997,-0.17760198,0.23152168,4.190188,-1.297412,-11.057082,-0.6529688379816514,-0.21448401075229356,0.8170894398165138
0.019944752,-0.022220012,-0.007321385,2.8016427,-0.44784114,-9.881954,-0.6528603973700305,-0.21475663716207952,0.8158119937003059
0.008821688,0.019235484,-0.1464867,0.48664346,-1.0103527,-10.939798,-0.6527519567584098,-0.21502926357186544,0.8145345475840979
-0.0005142313,0.082218654,-0.19465014,-2.027963,-1.0200621,-9.158477,-0.652643516146789,-0.21530188998165137,0.81325710146789
-0.01984357,0.124950215,-0.13439217,-2.8714237,0.16298196,-9.512899,-0.6525350755351682,-0.21557451639143732,0.811979655351682
-0.0020755737,0.176907,0.009391126,4.8877926,0.7174825,-11.464197,-0.6524266349235474,-0.21584714280122325,0.8107022092354741
0.021270506,0.2515118,0.23785275,7.029852,0.53341466,-8.902008,-0.6523181943119266,-0.21611976921100917,0.8094247631192661
0.06437696,0.27161774,0.19656132,3.3345425,-0.7757944,-10.97534,-0.6522097537003058,-0.2163923956207951,0.8081473170030582
0.040977485,0.2723319,0.0904132,-5.516004,-2.6499677,-10.09882,-0.652101313088685,-0.21666502203058105,0.8068698708868502
0.026657432,0.29442075,-0.057256155,-1.6274998,-0.78010786,-8.753797,-0.6519928724770642,-0.21693764844036698,0.8055924247706423
0.029336808,0.30435628,-0.1798212,3.3074973,0.999976,-9.764667,-0.6518844318654434,-0.2172102748501529,0.8043149786544344
0.05656407,0.29354915,-0.20763563,3.5881443,-1.1202252,-10.137405,-0.6517759912538226,-0.21748290125993883,0.8030375325382264
0.05329356,0.31305483,-0.05486503,-7.3082733,-0.09556748,-9.425911,-0.6516675506422018,-0.21775552766972478,0.8017600864220183
0.058142032,0.3592701,0.15558352,-0.14490995,1.1311805,-9.570161,-0.651559110030581,-0.2180281540795107,0.8004826403058104
0.07174542,0.36437488,0.23508269,0.64714265,-0.24517708,-10.202327,-0.6514506694189602,-0.21830078048929663,0.7992051941896025
0.039750904,0.37935033,0.21594368,1.335552,-1.3947026,-10.048565,-0.6513422288073394,-0.21857340689908256,0.7979277480733945
0.017229306,0.3682198,0.07795212,2.1820464,-0.57873607,-8.796604,-0.6512337881957186,-0.2188460333088685,0.7966503019571866
-0.004827252,0.2606029,-0.15715894,-0.52894175,-0.96284425,-10.573373,-0.6511253475840978,-0.21911865971865443,0.7953728558409786
-0.02534021,0.2515192,-0.18118843,1.1144052,-0.91634804,-9.913983,-0.651016906972477,-0.21939128612844036,0.7940954097247707
-0.011769238,0.12601642,0.08041006,-3.5128357,1.3431138,-9.28948,-0.6509084663608562,-0.2196639125382263,0.7928179636085627
0.017256403,0.12643583,0.19628853,-1.1207032,-0.0011639341,-9.391683,-0.6508000257492355,-0.21993653894801224,0.7915405174923548
0.01812322,0.088315,0.23432024,-0.6337947,-1.5817868,-9.471686,-0.6506915851376146,-0.22020916535779816,0.7902630713761468
0.037938256,0.05482175,0.15164459,-4.352147,-0.9966888,-9.922579,-0.6505831445259939,-0.2204817917675841,0.7889856252599389
0.0893348,0.05377536,0.018397897,9.794497,-0.5332342,-8.65278,-0.6504747039143731,-0.22075441817737002,0.7877081791437309
0.066537574,0.018765923,-0.09692148,-0.5506908,-0.7566529,-9.624455,-0.6503662633027523,-0.22102704458715597,0.786430733027523
